replace by;label
ai;artificial intelligence
agv;automated guided vehicle
agv;agvs
agv;automated guided vehicle (agv)
agv;automated guided vehicles
as/rs;automated storage and retrieval system
as/rs;automated storage and retrieval systems
automated warehouse;automatic warehouse
automated warehouse;automated warehouse system
automated warehouse;automated warehouses
automated warehouse;automated warehousing
iot;internet of things
iot;internet of things (iot)
genetic algorithm;genetic algorithms
mobile robot;mobile robots
warehouse;warehouses
warehouse;warehousing
wms;warehouse management system
rfid;rfid technology
rfid;radio frequency identification
automation;warehouse automation
route planning;path planning
deep learning;deep reinforcement learning
agv;agv (agv)
as/rs;as/rss
